name,sackmann_name,rank,recent_grass_success,peak_wimb_success,two_month_success,peak_ranking,gs_champion,ytd_win_rate,serve_quality
"SINNER, Jannik",Jannik Sinner,1,0.8888888888888888,1.0,0.9,1.0,1,0.925,0.6782765350547966
"KECMANOVIC, Miomir",Miomir Kecmanovic,51,0.3333333333333333,0.6666666666666666,0.4,27.0,0,0.375,0.6364434455876672
"BORGES, Nuno",Nuno Borges,53,0.5,0.6666666666666666,0.5,33.0,0,0.41379310344827586,0.636295077471548
"BOYER, Tristan",Tristan Boyer,193,0.5,0.6666666666666666,0.4444444444444444,113.0,0,0.47619047619047616,0.6313628899835796
"VUKIC, Aleksandar",Aleksandar Vukic,103,0.2,0.5,0.3333333333333333,50.0,0,0.3,0.6378550440744368
"BROOKSBY, Jenson",Jenson Brooksby,67,0.5454545454545454,0.6666666666666666,0.16666666666666666,33.0,0,0.2631578947368421,0.6153021442495127
"NAVA, Emilio",Emilio Nava,87,0.5,0.6666666666666666,0.0,74.0,0,0.35294117647058826,0.6154035433070866
"BUSE, Ignacio",Ignacio Buse,34,0.5,0.6666666666666666,0.7,31.0,0,0.5652173913043478,0.6261451726568006
"JODAR, Rafael",Rafael Jodar,26,0.5,0.6666666666666666,0.7777777777777778,29.0,0,0.7058823529411765,0.6379800853485064
"GILL, Felix",Felix Gill,220,0.5,0.6666666666666666,0.4444444444444444,36.0,0,0.47619047619047616,0.6358670031335792
"SHAPOVALOV, Denis",Denis Shapovalov,41,0.2857142857142857,0.8333333333333334,0.2,10.0,0,0.4090909090909091,0.6557804993196146
"CARRENO BUSTA, Pablo",Pablo Carreno Busta,71,0.5,0.0,0.6,10.0,0,0.42857142857142855,0.6380611839491458
"MOCHIZUKI, Shintaro",Shintaro Mochizuki,150,0.5,0.5,0.4444444444444444,99.0,0,0.0,0.5708758353851565
"BASING, Max",Max Basing,331,0.5,0.6666666666666666,0.4444444444444444,36.0,0,0.47619047619047616,0.6358670031335792
"QUINN, Ethan",Ethan Quinn,63,0.5,0.5,0.2,48.0,0,0.38095238095238093,0.6284046692607004
"DARDERI, Luciano",Luciano Darderi,16,0.3333333333333333,0.6666666666666666,0.7,16.0,0,0.6285714285714286,0.6306240928882438
"RUUD, Casper",Casper Ruud,12,0.5,0.5,0.7857142857142857,2.0,0,0.6571428571428571,0.660541586073501
"HURKACZ, Hubert",Hubert Hurkacz,95,0.4,0.8333333333333334,0.3333333333333333,6.0,0,0.43478260869565216,0.6766225961538461
"MEDJEDOVIC, Hamad",Hamad Medjedovic,64,0.5,0.0,0.625,57.0,0,0.55,0.6536879627090759
"OFNER, Sebastian",Sebastian Ofner,111,0.5,0.6666666666666666,0.3333333333333333,37.0,0,0.2857142857142857,0.6302479502123877
"KWON, Soonwoo",Soonwoo Kwon,202,0.5,0.5,0.4444444444444444,52.0,0,1.0,0.6252315672471286
"LANDALUCE, Martin",Martin Landaluce,58,0.3333333333333333,0.6666666666666666,0.6,55.0,0,0.5882352941176471,0.6217879116901919
"MULLER, Alexandre",Alexandre Muller,125,0.0,0.5,0.0,38.0,0,0.2857142857142857,0.6058373476905639
"PAUL, Tommy",Tommy Paul,24,0.625,0.8,0.7333333333333333,9.0,0,0.7142857142857143,0.6431610158566456
"NAKASHIMA, Brandon",Brandon Nakashima,31,0.6923076923076923,0.75,0.6666666666666666,29.0,0,0.5806451612903226,0.6738346150194626
"PINNINGTON JONES, Jack",Jack Pinnington Jones,145,0.25,0.5,0.0,138.0,0,0.4,0.6194029850746269
"STRUFF, Jan-Lennard",Jan-Lennard Struff,77,0.5,0.6666666666666666,0.42857142857142855,21.0,0,0.35294117647058826,0.6470756731420239
"BAEZ, Sebastian",Sebastian Baez,56,0.0,0.5,0.25,18.0,0,0.5483870967741935,0.6050860134629769
"UGO CARABELLI, Camilo",Camilo Ugo Carabelli,57,0.0,0.0,0.5,43.0,0,0.46153846153846156,0.5925357088004914
"MERIDA, Daniel",Daniel Merida,85,0.5,0.6666666666666666,0.0,86.0,0,0.5454545454545454,0.5855397148676171
"CILIC, Marin",Marin Cilic,60,0.625,0.8571428571428571,0.42857142857142855,3.0,0,0.5,0.6704525983403912
"MEDVEDEV, Daniil",Daniil Medvedev,9,0.6428571428571429,0.8333333333333334,0.6666666666666666,1.0,1,0.7317073170731707,0.6585709257303767
"AUGER-ALIASSIME, Felix",Felix Auger-Aliassime,4,0.6,0.8,0.6153846153846154,4.0,0,0.6666666666666666,0.669207656354329
"SHEVCHENKO, Aleksandr",Aleksandr Shevchenko,98,0.5,0.6666666666666666,0.4444444444444444,36.0,0,0.47619047619047616,0.6358670031335792
"WALTON, Adam",Adam Walton,92,0.0,0.5,0.5,76.0,0,0.3333333333333333,0.6321173518625748
"PRIZMIC, Dino",Dino Prizmic,81,0.5,0.6666666666666666,0.6666666666666666,72.0,0,0.5789473684210527,0.6249607041810752
"VALLEJO, Adolfo Daniel",Adolfo Daniel Vallejo,73,0.5,0.6666666666666666,0.5,71.0,0,0.6363636363636364,0.6111111111111112
"MEJIA, Nicolas",Nicolas Mejia,168,0.5,0.6666666666666666,0.4444444444444444,177.0,0,1.0,0.5947653429602888
"ZHENG, Michael",Michael Zheng,143,0.5,0.6666666666666666,0.0,145.0,0,0.2,0.5613305613305614
"NORRIE, Cameron",Cameron Norrie,29,0.5,0.8333333333333334,0.0,8.0,0,0.5,0.6358670031335792
"DAVIDOVICH FOKINA, Alejandro",Alejandro Davidovich Fokina,25,0.6363636363636364,0.6666666666666666,0.5,14.0,0,0.5357142857142857,0.6176922212651211
"CERUNDOLO, Juan Manuel",Juan Manuel Cerundolo,45,0.5,0.0,0.6,56.0,0,0.42105263157894735,0.5960012694382736
"TIRANTE, Thiago Agustin",Thiago Agustin Tirante,54,0.5,0.6666666666666666,0.625,58.0,0,0.6153846153846154,0.6717678100263852
"MAROZSAN, Fabian",Fabian Marozsan,62,0.375,0.5,0.2,36.0,0,0.42857142857142855,0.6339128243890149
"VAN ASSCHE, Luca",Luca Van Assche,82,0.5,0.0,0.5,64.0,0,0.6,0.6095986038394415
"FUCSOVICS, Marton",Marton Fucsovics,76,0.5555555555555556,0.8,0.2,31.0,0,0.35,0.6235657849536241
"SVRCINA, Dalibor",Dalibor Svrcina,113,0.5,0.6666666666666666,0.0,91.0,0,0.42857142857142855,0.5677785663591199
"TIEN, Learner",Learner Tien,18,0.5555555555555556,0.5,0.75,18.0,0,0.6451612903225806,0.6180146191935865
